,model_daily,model_weekly,model_weekly_10_holdings,momentum_only,nifty50,equal_weight_nifty100
2016-02-19,117838.93,113966.02,99487.75,114827.71,85888.78,87249.43
2016-02-22,118833.29,115976.67,101302.23,116244.33,86172.27,87669.72
2016-02-23,117346.23,112969.98,99081.49,114265.15,84683.37,86150.30
2016-02-24,115775.74,111783.73,97835.26,112405.53,83601.24,85068.95
2016-02-25,114459.06,109572.45,96650.56,110866.04,83028.31,84288.34
2016-02-26,114511.67,110500.37,96585.71,109729.52,83732.85,84655.95
2016-02-29,116588.86,113346.02,98096.58,111186.33,83224.24,84408.99
2016-03-01,119741.67,117739.19,100941.84,114882.00,86026.36,87129.72
2016-03-02,121029.42,119746.54,102159.95,116906.15,87771.95,89092.62
2016-03-03,120746.97,119912.03,103968.60,117646.41,89043.47,90302.14
2016-03-04,122078.60,120424.70,104446.58,117413.72,89159.60,91051.41
2016-03-08,121546.66,119200.11,103862.37,117558.97,89159.00,91044.34
2016-03-09,123473.13,121895.92,105217.27,121929.94,89712.88,91615.21
2016-03-10,123622.14,120669.51,104497.61,121310.26,89169.13,91116.58
2016-03-11,123809.81,121086.04,104876.91,121950.87,89455.60,91317.17
2016-03-14,125017.53,120995.81,105018.85,121719.85,89795.66,91699.21
2016-03-15,122473.27,120189.78,103651.96,120134.10,88864.80,90751.31
2016-03-16,122926.58,119594.06,103175.19,118332.51,89319.21,90664.04
2016-03-17,123495.71,119758.85,103707.06,116277.29,89483.58,91209.48
2016-03-18,123439.07,120291.98,103492.88,118405.61,90577.04,92379.29
2016-03-21,125391.40,124812.24,106516.58,122182.20,91766.97,93655.98
2016-03-22,125525.99,125461.24,107359.69,122156.84,91893.82,93869.38
2016-03-23,127507.36,125703.86,107106.10,124269.77,91912.88,93882.38
2016-03-28,124589.44,123786.38,105410.96,122779.90,90705.08,92305.02
2016-03-29,123240.33,125085.90,105380.20,123875.31,90489.49,92148.81
2016-03-30,125157.06,127290.45,107227.33,125443.15,92135.62,94214.34
2016-03-31,127027.87,128279.70,107461.02,126701.23,92173.73,94679.44
2016-04-01,125763.20,129357.41,107454.44,128088.77,91871.78,94739.36
2016-04-04,126762.63,128889.08,108275.45,128583.66,92416.72,95213.27
2016-04-05,126035.87,128207.92,107717.82,125938.32,90563.34,93165.89
2016-04-06,127510.79,129179.84,108197.77,125916.55,90696.15,93482.46
2016-04-07,128117.63,128766.09,107778.59,124850.78,89887.38,93010.20
2016-04-08,129380.78,128593.93,108519.07,125519.39,89991.60,93664.34
2016-04-11,130194.73,130549.68,109618.45,128267.46,91375.68,94995.13
2016-04-12,132607.34,131915.90,111130.36,129800.45,91822.95,95714.87
2016-04-13,134057.81,132823.62,111540.04,129864.70,93508.39,97263.06
2016-04-18,134096.01,134170.82,112946.87,130062.90,94273.68,98132.22
2016-04-20,132559.10,132504.92,111590.15,130148.09,94274.28,98521.62
2016-04-21,129906.77,131300.04,111139.14,128467.85,94242.11,98306.48
2016-04-22,130881.28,130888.70,111373.52,127456.86,94090.25,98395.20
2016-04-25,129076.02,131517.33,110860.26,127229.51,93563.18,97930.36
2016-04-26,131123.24,132105.33,111830.80,128783.51,94844.82,99140.60
2016-04-27,130375.02,133106.52,112560.83,129831.70,95050.29,99362.75
2016-04-28,130083.07,130108.75,110072.19,127319.26,93470.27,97839.05
2016-04-29,129209.53,131471.84,110985.03,127631.37,93500.64,97841.20
2016-05-02,131452.74,131251.56,111155.64,126679.30,92977.74,98353.10
2016-05-03,132586.34,130348.97,110402.82,126185.02,92276.17,97405.91
2016-05-04,132461.56,128089.78,109078.41,123444.55,91794.36,96172.28
